"Links","Time","Nome","PPG","RPG","APG","Altura","Peso","País","Idade","Data_de_nascimento","DRAFT","Experiência"
"https://www.nba.com/player/1630577/julian-champagnie/","San Antonio Spurs | #30 | Forward","Julian
Champagnie","9.4","3.8","1.3","6'7"" (2.01m)","217lb (98kg)","USA","23 years","June 29, 2001","Undrafted","2 Years"
"https://www.nba.com/player/1630551/justin-champagnie/","Washington Wizards | #9 | Guard-Forward","Justin
Champagnie","7.7","4.9","0.9","6'6"" (1.98m)","206lb (93kg)","USA","23 years","June 29, 2001","Undrafted","3 Years"
"https://www.nba.com/player/1642279/ulrich-chomche/","Toronto Raptors | #22 | Center","Ulrich
Chomche","0.7","1.1","0.3","6'11"" (2.11m)","235lb (107kg)","Cameroon","19 years","December 30, 2005","2024 R2 Pick 57","Rookie"
"https://www.nba.com/player/1642353/cam-christie/","LA Clippers | #12 | Guard","Cam
Christie","1.6","0.9","0.6","6'6"" (1.98m)","190lb (86kg)","USA","19 years","July 24, 2005","2024 R2 Pick 46","Rookie"
"https://www.nba.com/player/1631108/max-christie/","Dallas Mavericks | #00 | Guard","Max
Christie","9.5","3.3","1.9","6'5"" (1.96m)","190lb (86kg)","USA","22 years","February 10, 2003","2022 R2 Pick 35","2 Years"
"https://www.nba.com/player/1630528/josh-christopher/","Miami Heat | #8 | Guard","Josh
Christopher","0.8","0.4","0.5","6'4"" (1.93m)","215lb (98kg)","USA","23 years","December 8, 2001","2021 R1 Pick 24","2 Years"
"https://www.nba.com/player/1631321/sidy-cissoko/","Portland Trail Blazers | #25 | Guard","Sidy
Cissoko","1.1","0.6","0.3","6'6"" (1.98m)","200lb (91kg)","France","20 years","April 2, 2004","2023 R2 Pick 44","1 Year"
"https://www.nba.com/player/1641740/jaylen-clark/","Minnesota Timberwolves | #22 | Guard","Jaylen
Clark","4.6","1.3","0.7","6'4"" (1.93m)","205lb (93kg)","USA","23 years","October 13, 2001","2023 R2 Pick 53","Rookie"
"https://www.nba.com/player/1629634/brandon-clarke/","Memphis Grizzlies | #15 | Forward","Brandon
Clarke","8.3","5.1","1.0","6'8"" (2.03m)","215lb (98kg)","Canada","28 years","September 19, 1996","2019 R1 Pick 21","5 Years"
"https://www.nba.com/player/203903/jordan-clarkson/","Utah Jazz | #00 | Guard","Jordan
Clarkson","16.4","3.2","3.8","6'3"" (1.91m)","194lb (88kg)","USA","32 years","June 7, 1992","2014 R2 Pick 46","10 Years"
"https://www.nba.com/player/1629651/nic-claxton/","Brooklyn Nets | #33 | Center","Nic
Claxton","10.0","7.6","2.3","6'11"" (2.11m)","215lb (98kg)","USA","25 years","April 17, 1999","2019 R2 Pick 31","5 Years"
"https://www.nba.com/player/1642270/donovan-clingan/","Portland Trail Blazers | #23 | Center","Donovan
Clingan","6.1","7.5","1.0","7'2"" (2.18m)","280lb (127kg)","USA","21 years","February 23, 2004","2024 R1 Pick 7","Rookie"
"https://www.nba.com/player/1641730/noah-clowney/","Brooklyn Nets | #21 | Forward-Center","Noah
Clowney","9.2","3.8","0.8","6'9"" (2.06m)","210lb (95kg)","USA","20 years","July 14, 2004","2023 R1 Pick 21","1 Year"
"https://www.nba.com/player/1629599/amir-coffey/","LA Clippers | #7 | Guard-Forward","Amir
Coffey","10.0","2.3","1.1","6'7"" (2.01m)","210lb (95kg)","USA","27 years","June 17, 1997","Undrafted","5 Years"
"https://www.nba.com/player/1642268/isaiah-collier/","Utah Jazz | #13 | Guard","Isaiah
Collier","7.9","3.3","6.2","6'3"" (1.91m)","210lb (95kg)","USA","20 years","October 8, 2004","2024 R1 Pick 29","Rookie"
"https://www.nba.com/player/1628381/john-collins/","Utah Jazz | #20 | Forward-Center","John
Collins","19.0","8.2","2.0","6'9"" (2.06m)","226lb (103kg)","USA","27 years","September 23, 1997","2017 R1 Pick 19","7 Years"
